Demand Balances by Primary Good
scenario,region,input,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Corn,FeedCrops,1.74136,2.48491,3.06398,2.79211,2.89568,3.04168,3.18841,3.20988,3.17027,3.1484,3.22093,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Corn,FoodDemand_Crops,0.178296,0.406576,0.407034,0.42586,0.44326,0.461877,0.479189,0.490796,0.500964,0.508954,0.514988,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Corn,NonFoodDemand_Crops,1.89176,2.00417,6.29621,6.55063,6.78823,7.00152,7.19097,7.35674,7.50055,7.61148,7.69296,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Corn,regional corn for ethanol,0.0,0.0,0.294797,0.83165,1.24925,2.30369,3.2566,4.12895,4.78573,4.97435,4.65221,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,FiberCrop,FeedCrops,0.0038218,0.0177373,0.012655,0.0113944,0.0121386,0.0132497,0.0145309,0.0165243,0.018123,0.0196048,0.0206745,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,FiberCrop,FoodDemand_Crops,0.0065696,0.0088738,0.00398275,0.00416696,0.00433721,0.00451937,0.00468877,0.00480234,0.00490184,0.00498001,0.00503905,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,FiberCrop,NonFoodDemand_Crops,0.441507,0.382338,0.647993,0.674177,0.69863,0.720581,0.74008,0.75714,0.77194,0.783357,0.791743,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,FodderGrass,Pasture_FodderGrass,89.03,47.7677,48.96,51.9527,54.9679,59.0227,62.8002,66.1878,68.5315,69.2625,68.8618,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,FodderHerb,FodderHerb_Residue,18.7667,25.9676,30.1861,32.202,33.9799,36.5413,38.9467,39.4228,38.4429,36.638,34.6198,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,FodderHerb,NonFoodDemand_Crops,35.8135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Forest,NonFoodDemand_Forest,0.0094428,0.0139779,0.0145941,0.0151838,0.0157346,0.0162289,0.0166681,0.0170523,0.0173857,0.0176428,0.0178317,0.0,0.0,0.0,billion m3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,MiscCrop,FeedCrops,6.5E-6,2.368E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
