Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,CSP,water withdrawals,0.0,0.0,0.0,3.56495E-6,1.171543E-5,3.440483E-5,6.499413E-5,1.2561403E-4,2.2247453E-4,3.5855558E-4,4.881661E-4,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,7.54316E-5,2.639656E-4,7.932326E-4,0.0017121806,0.0039473606,0.0085838406,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.012637,0.02230357,0.03883095,0.05496845,0.08052825,0.11509764,0.16962344000000001,0.24321002000000003,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,Gen_II_LWR,water withdrawals,0.202013,0.190693,0.198961,0.183868,0.175244,0.162665,0.145452,0.123845,0.0994802,0.0751155,0.0535085,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,PV,water withdrawals,0.0,0.0,0.0,4.05204E-6,1.083376E-5,2.5500960000000003E-5,4.182576E-5,6.993786E-5,1.0905176E-4,1.4009872E-4,1.5331809999999998E-4,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,3.63176E-8,9.74663E-8,2.294573E-7,3.7674629999999995E-7,6.293102999999999E-7,1.0019883E-6,1.7559897E-6,3.160211E-6,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,2.26838E-4,6.685020000000001E-4,0.0019271029999999999,0.00507778,0.010261269,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00201616,0.00362278,0.00607389,0.00851872,0.00908344,0.005874535,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.00167897,0.00462979,0.014555479999999999,0.03783813,0.06817424999999999,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,biomass (conv),water withdrawals,0.00233085,0.0280758,0.0478466,0.0398093,0.04646932,0.05144098,0.05610169999999999,0.055013309999999996,0.052036690000000003,0.03076884,0.010731318,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,coal (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,2.83811E-5,1.0428649999999999E-4,4.6485669999999995E-4,0.0017687369,0.0046172218,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00119509,0.00242662,0.00435486,0.0061094899999999995,0.00737037,0.007226801,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,coal (conv pul CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,2.76499E-4,9.67891E-4,0.004008943,0.014163227,0.034939233,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,coal (conv pul),water withdrawals,0.0102655,0.0360896,0.0513273,0.0654544,0.0776684,0.0930497,0.1043317,0.11669780000000002,0.11607881,0.10286805000000002,0.08074448000000001,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,gas (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.028647,0.07521069999999999,0.1492538,0.2730787,0.44093860000000007,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,gas (CC),water withdrawals,0.0345499,0.278981,0.119303,0.1517784,0.1836079,0.2391355,0.2714943,0.32147339999999996,0.3531886,0.3746482,0.3790444,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,gas (steam/CT),water withdrawals,0.325523,0.336733,0.988105,1.011371,1.066581,1.143282,1.1368839,1.0807555,0.9162026000000001,0.6942696,0.45559041000000006,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.00413243,0.01018115,0.02182102,0.03342565,0.050723260000000006,0.07115979,0.09482929,0.1205617,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,refined liquids (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.141976,0.24626720000000002,0.3878794,0.6261848,0.887111,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0991454,0.2403946,0.2326284,0.3019535,0.3068141,0.2955466,0.2428247,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,electricity,refined liquids (steam/CT),water withdrawals,0.112653,0.130797,0.377712,0.33256050000000004,0.3279994,0.3261628,0.2978848,0.25292905,0.20115511,0.14440411,0.09283471,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,CSP,water withdrawals,0.0,0.0,0.0,1.41745E-5,2.4319899999999997E-5,7.14802E-5,2.338872E-4,7.794232E-4,0.0019272831999999998,0.0033230287000000002,0.0043796233,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,1.56775E-4,0.001157585,0.005917915,0.016732015,0.034726915,0.06404531499999999,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.00161477,0.00421788,0.01310086,0.03837765,0.11338715,0.24963615,0.42122405,0.60766403,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,Gen_II_LWR,water withdrawals,0.0620654,0.273428,0.402943,0.372376,0.35491,0.329436,0.294575,0.250815,0.201471,0.152127,0.108368,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,PV,water withdrawals,0.0,0.0,0.0,4.9302E-6,7.51347E-6,1.6843049999999998E-5,4.337095E-5,1.2086765E-4,2.6480765E-4,4.0380244999999997E-4,4.7350098E-4,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,4.41892E-8,6.74819E-8,1.514344E-7,3.907124E-7,1.0859054000000002E-6,2.4280654000000004E-6,4.3310962000000005E-6,7.143593499999999E-6,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00253134,0.01652554,0.10743204,0.27055335999999996,0.45090514000000004,0.62536273,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0104482,0.029951199999999997,0.04344902,0.04284188,0.02145886,0.006496393,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0250815,0.2228394,2.6840595,5.7753049,8.159440499999999,10.1295244,0.0,0.0,0.0,km^3,
