Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,CSP,water withdrawals,0.0,0.0,0.0,3.56495E-6,1.1717480000000001E-5,3.441858E-5,7.359168E-5,1.3558898E-4,2.5332898E-4,3.8825702999999997E-4,5.801084999999999E-4,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,7.54707E-5,3.169227E-4,8.584507E-4,0.0020232907000000003,0.005837910700000001,0.0138315407,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.012637,0.02230603,0.03883922000000001,0.059495509999999995,0.08554421,0.12771750999999998,0.19939769999999998,0.31499839,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,Gen_II_LWR,water withdrawals,0.202013,0.190693,0.198961,0.183868,0.175244,0.162665,0.145452,0.123845,0.0994802,0.0751155,0.0535086,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,PV,water withdrawals,0.0,0.0,0.0,4.05204E-6,1.083547E-5,2.551027E-5,4.641477E-5,7.515267E-5,1.2078307E-4,1.3967623E-4,1.591831E-4,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,3.63176E-8,9.74817E-8,2.295407E-7,4.181717E-7,6.765867E-7,1.1489857000000001E-6,2.4614481E-6,4.926684E-6,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00201529,0.0043481200000000005,0.00724492,0.011806589999999999,0.015393213999999999,0.013403846,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,biomass (conv),water withdrawals,0.00233085,0.0280758,0.0478466,0.0398093,0.046406760000000005,0.051012459999999996,0.05637029,0.0594022,0.06319724,0.04098306,0.016939411999999997,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0011958,0.00276933,0.0045935,0.00635698,0.007381089,0.006190088,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,coal (conv pul),water withdrawals,0.0102655,0.0360896,0.0513273,0.0654544,0.0776731,0.09307119999999999,0.1074792,0.11468319999999999,0.09948536999999999,0.07448489999999999,0.037919573000000005,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,gas (CC),water withdrawals,0.0345499,0.278981,0.119303,0.1517784,0.1836176,0.2391796,0.3083766,0.3863535,0.46405029999999997,0.5469132,0.6154071999999999,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,gas (steam/CT),water withdrawals,0.325523,0.336733,0.988105,1.011371,1.066611,1.143384,1.174952,1.1173460000000002,0.9170782999999999,0.6741273999999999,0.41945819999999995,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.00413243,0.01018261,0.02182788,0.03636434,0.05367789,0.07775663000000001,0.10795394,0.1456433,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,refined liquids (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77789E-10,4.25845E-10,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0991726,0.240623,0.38197400000000004,0.5013209000000001,0.5847427000000001,0.6618885,0.6608181,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,electricity,refined liquids (steam/CT),water withdrawals,0.112653,0.130797,0.377712,0.33256050000000004,0.32801310000000006,0.3263176,0.2991806,0.25710320000000003,0.20536369999999998,0.15452905,0.10230876,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,CSP,water withdrawals,0.0,0.0,0.0,1.41745E-5,2.44637E-5,7.45323E-5,2.241553E-4,0.0010745843,0.0025874443,0.0045854298,0.0061501106,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,1.66443E-4,0.001088487,0.009287436999999999,0.101204237,0.32207023700000004,0.619587237,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.00161477,0.00425478,0.01368398,0.03696018,0.15982118,0.74916618,1.8460951799999998,3.0852951699999998,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,Gen_II_LWR,water withdrawals,0.0620654,0.273428,0.402943,0.372376,0.35491,0.329436,0.294575,0.250815,0.201471,0.152127,0.108368,0.0,0.0,0.0,km^3,
