Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,CSP,water withdrawals,0.0,0.0,0.0,3.56495E-6,1.168596E-5,3.418696E-5,7.258136E-5,1.2706386E-4,1.9531576E-4,2.6971880999999997E-4,3.440444E-4,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,7.48053E-5,3.1145429999999996E-4,7.869423E-4,0.0014205003,0.0022074363,0.0031345883,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.012637,0.02226814,0.03865523,0.05891422,0.08202381,0.10664801,0.1320419,0.15729838,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,Gen_II_LWR,water withdrawals,0.202013,0.190693,0.198961,0.183868,0.175244,0.162665,0.145452,0.123845,0.09948,0.0751154,0.0535084,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,PV,water withdrawals,0.0,0.0,0.0,4.05204E-6,1.080923E-5,2.5354629999999998E-5,4.584403E-5,7.112063E-5,9.928603E-5,1.2492519000000001E-4,1.467559E-4,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,3.63176E-8,9.72452E-8,2.2814020000000001E-7,4.130182E-7,6.399192E-7,8.968582E-7,1.1387865999999999E-6,1.3708870000000001E-6,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00201423,0.00440548,0.00716142,0.0099044,0.01261347,0.01529958,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,biomass (conv),water withdrawals,0.00233085,0.0280758,0.0478466,0.0398093,0.04717531,0.05490288,0.06298891999999999,0.06959924,0.07165969999999999,0.07316716999999999,0.07593982,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00118418,0.00275453,0.0046491399999999995,0.00672001,0.00889123,0.011098170000000001,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Argentina,electricity,coal (conv pul),water withdrawals,0.0102655,0.0360896,0.0513273,0.0654544,0.0776043,0.0927557,0.10821069999999999,0.12296339999999999,0.1358317,0.1475392,0.158644,0.0,0.0,0.0,km^3,
